S.No.,Company_Name,CMP,PE_Ratio,Mar_Cap,Dividend_yield_%,NP_Qtr,Qtr_Profit_%,Sales_Q0tr,Qtr_Sales_%,ROCE_%,ROE_%
1,Reliance Industr,1466.2,28.49,1984130.59,0.34,22611,2.41,261388,10.51,9.43,8.5
2,HDFC Bank,1964.7,21.28,1506514.99,1.12,19284.57,6.88,86779.34,9.25,7.51,14.5
3,TCS,3435.7,25.62,1243066.33,1.75,12293,-1.69,64479,5.29,64.63,52.4
4,Bharti Airtel,1936.7,41.89,1161585.05,0.83,12475.8,185.61,47876.2,27.33,15.36,28.3
5,ICICI Bank,1427.1,19.95,1018196.88,0.7,14353.69,15.69,48386.92,13.57,7.88,18
6,St Bk of India,796.15,9.16,710533.62,2,20379.46,-8.34,126997,8.11,6.47,17.2
7,Infosys,1622.9,25.43,674187.28,2.65,7038,-11.75,40925,7.92,37.5,28.8
8,Bajaj Finance,905,33.8,562392.93,0.49,4545.57,17.13,18456.85,23.65,11.29,19.2
9,Hind. Unilever,2306.2,51.98,541862.74,1.86,2475,2.61,15670,3.02,27.85,20
10,ITC,418.55,26.37,523778.48,3.43,19807.88,3.97,18765,10.14,36.98,27.5
11,Larsen & Toubro,3662,33.08,503656.62,0.93,6155.82,19.34,74392.28,10.9,14.49,16.6
12,HCL Technologies,1739.9,27.14,472150.59,3.1,4309,8.1,30246,6.13,31.88,25.5
13,Kotak Mah. Bank,2169.8,22.42,431416.28,0.09,4932.76,-7.58,16771.93,10.66,7.64,13.4
14,Maruti Suzuki,12791,27.73,402152.33,0.98,3911.1,-1.04,40920.1,6.37,21.76,16
15,Sun Pharma.Inds.,1665.1,34.84,399513.27,0.96,2153.93,-13.13,12958.84,8.14,20.19,16.9
16,M & M,3184.4,30.63,395989.32,0.79,3541.85,19.65,42599.31,20.16,14.07,18
17,Axis Bank,1220.7,13.49,378510.34,0.08,7509.1,-1.63,32452.32,7.35,7.11,16.4
18,UltraTech Cem.,11458,55.2,337643.39,0.61,2474.79,7.44,23063.32,12.95,10.93,13
19,NTPC,335.2,13.88,325032.25,2.31,7897.14,23.38,49833.7,4.63,10.76,13.6
20,Bajaj Finserv,1986.2,35.77,317357.66,0.05,4756.32,14.07,36595.36,14.21,10.96,13.4
21,O N G C,251.89,8.72,316884.65,4.86,8856.33,-34.02,170811.73,-0.77,12.42,10.7
22,Titan Company,3519,93.62,312411.95,0.31,871,12.97,14916,19.39,22.17,31.8
23,Bharat Electron,408.25,56.08,298421.72,0.54,2127.02,18.39,9149.59,6.84,38.99,29.3
24,Adani Ports,1349.3,27.09,291467.55,0.52,3023.1,29.88,8488.44,23.08,13.8,18.7
25,Adani Enterp.,2448.4,64.37,282589.61,0.05,4014.9,88.79,26965.86,-7.59,9.45,9.82
26,Wipro,266.54,21.34,279379.24,2.25,3588.1,25.93,22504.2,1.33,19.51,16.6
27,Power Grid Corpn,293.1,17.56,272600.7,3.84,4142.87,-0.56,12275.35,2.48,12.89,17.3
28,Tata Motors,676.2,8.82,248940.48,0.89,8556,-49.58,119503,0.39,19.97,28.1
29,JSW Steel,1005.55,64.55,245902.62,0.28,1501,17.42,44819,-3.13,8.03,4.85
30,Eternal Ltd,253.33,463.89,244472.33,0,39,-77.71,5833,63.76,3.18,2.08
31,Coal India,389.05,6.79,239760.95,6.55,9592.53,12.45,37824.54,-1.02,48.04,38.8
32,Bajaj Auto,8371,31.91,233766.54,2.51,1801.85,-10.42,12646.32,9.45,28.14,22.8
33,Nestle India,2360.4,73.51,227579.66,1.14,885.41,-4.45,5503.88,4.49,95.66,83.3
34,Asian Paints,2285.7,55.86,219243.84,1.09,700.83,-35.15,8358.91,-4.26,25.72,20.6
35,Trent,5897.5,145.99,209648.73,0.08,311.6,18.57,4216.94,27.88,30.71,30.1
36,Tata Steel,151.97,57.16,189712.16,2.37,1200.88,90.93,56218.11,-4.21,8.83,3.62
37,Jio Financial,294.25,115.93,186945.39,0,316.11,1.76,493.24,17.97,1.47,1.23
38,Grasim Inds,2712.6,48.74,184594.38,0.37,2973.26,-3.01,44267.26,17.34,7.6,4.07
39,SBI Life Insuran,1810.9,75.2,181485.3,0.15,813.51,0.33,23070.95,-36.37,16.88,15.1
40,HDFC Life Insur.,778.95,92.69,167839.88,0.27,475.36,15.48,24190.65,-13.73,7.43,11.8
41,Tech Mahindra,1696.1,39.06,166072.71,2.65,1141.9,72.75,13384,3.98,20.08,15.7
42,Eicher Motors,5525,32,151524.36,0.92,1362.15,27.25,5241.11,23.15,29.77,24.1
43,Hindalco Inds.,649.15,8.77,145878.71,0.54,5284,66.3,64890,15.89,15.21,14.5
44,Shriram Finance,666.35,15.08,125308.9,1.49,2143.77,10.69,11454.23,20.78,10.97,15.8
45,Cipla,1499.7,22.99,121131.94,0.87,1214.14,30.29,6729.69,9.19,23.3,18.2
46,Dr Reddy's Labs,1325.3,19.56,110598.04,0.6,1586.7,21.14,8528.4,19.89,23.13,18.3
47,Tata Consumer,1100.2,86.18,108866.02,0.75,348.72,-8.72,4608.22,17.35,9.16,7.01
48,Apollo Hospitals,7063.5,70.24,101562.29,0.23,414.5,53.51,5592.2,13.11,17.12,19.1
49,Hero Motocorp,4338.5,19.83,86776.82,3.8,1168.75,24.21,9969.81,3.67,31.15,23.7
50,IndusInd Bank,840.25,24.77,65460.17,1.96,-2235.99,-195.28,10633.85,-12.83,6.49,4.16
